"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MPN","DPN"
"A2","1","RaspberryPi_Pico","","","","",""
"C1,C2,C3,C4,C5,C6,C8,C9","8","1u","","","","CL21B105KBFNNNE","1276-1029-1-ND"
"C7,C10","2","10u","","","","GRM21BR61H106KE43L","490-18663-1-ND"
"C12","1","4u7","","","","CL21A475KAQNNNE","1276-1244-1-ND"
"C13","1","0u1","","","","C1608X7R1H104K080AA","445-1314-1-ND"
"CR1,CR2,CR3","3","SS2040FL_R1_00001","","","","SS2040FL_R1_00001","3757-SS2040FL_R1_00001CT-ND"
"H1,H2","2","M4 PLAIN","","Excluded from BOM","","",""
"J1","1","FH34SRJ-24S-0.5SH_99_","","","","",""
"J2","1","Screw_Terminal_2x2.54","","","","691210910002","732-691210910002-ND"
"Q2","1","ZXM61N03F","","","","ZXM61N03FTA","ZXM61N03FCT-ND"
"R2","1","0.47R","","","","RL1206FR-070R47L","311-.47LWCT-ND"
"R6","1","249K_0.1%","","","","RC0603FR-07249KL","311-249KHRCT-ND"
"R7","1","1M","","","","ERJ-3EKF1004V","P1.00MHCT-ND"
"SRP3012TA-100M1","1","10uH","","","","SRP3012TA-100M","SRP3012TA-100MCT-ND"
"SW1","1","Button","","","","FSMSMTR","450-1758-1-ND"
"VR1","1","NCP1117-3.3V","","","","NCP1117IST33T3G","488-NCP1117IST33T3GCT-ND"
